,,,,,,,,,,,,Party,,,,,,,,,,,test,,
IL-12,Illinois,IL,17,33,21,US House,12,Mike Bost,Republican,FALSE,Brendan Kelly,Democrat,FALSE,total,118724,261543,FALSE,20200424,45,52,,,,45,52
IL-13,Illinois,IL,17,33,21,US House,13,Rodney Davis,Republican,FALSE,Betsy Dirksen Londrigan,Democrat,FALSE,total,134458,270981,FALSE,20200424,50,50,,,,50,50
IL-14,Illinois,IL,17,33,21,US House,14,Randall M. \Randy\ Hultgren,Republican,FALSE,Lauren Underwood,Democrat,FALSE,total,156035,297199,FALSE,20200424,53,47,,,,53,47
IL-15,Illinois,IL,17,33,21,US House,15,John M. Shimkus,Republican,FALSE,Kevin Gaither,Democrat,FALSE,total,74309,255608,FALSE,20200424,29,71,,,,29,71
IL-16,Illinois,IL,17,33,21,US House,16,Adam Kinzinger,Republican,FALSE,Sara Dady,Democrat,FALSE,total,104569,255825,FALSE,20200424,41,59,,,,41,59
IL-17,Illinois,IL,17,33,21,US House,17,William W. \Bill\ Fawell,Republican,FALSE,Cheri Bustos,Democrat,FALSE,total,142659,229749,FALSE,20200424,62,38,,,,62,38
IL-18,Illinois,IL,17,33,21,US House,18,Darin Lahood,Republican,FALSE,Junius Rodriguez,Democrat,FALSE,total,95486,291413,FALSE,20200424,33,67,,,,33,67
IN-01,Indiana,IN,18,32,22,US House,1,Mark Leyva,Republican,FALSE,Peter J. Visclosky,Democrat,FALSE,total,159611,245209,FALSE,20200424,65,35,,,,65,35
IN-02,Indiana,IN,18,32,22,US House,2,Jackie Walorski,Republican,FALSE,Mel Hall,Democrat,FALSE,total,103363,228889,FALSE,20200424,45,55,,,,45,55
IN-03,Indiana,IN,18,32,22,US House,3,Jim Banks,Republican,FALSE,Courtney Tritch,Democrat,FALSE,total,86610,245537,FALSE,20200424,35,65,,,,35,65
IN-04,Indiana,IN,18,32,22,US House,4,Jim Baird,Republican,FALSE,Tobi Beck,Democrat,FALSE,total,87824,244363,FALSE,20200424,36,64,,,,36,64
IN-05,Indiana,IN,18,32,22,US House,5,Susan W. Brooks,Republican,FALSE,Dee Thornton,Democrat,FALSE,total,137142,317177,FALSE,20200424,43,57,,,,43,57
IN-06,Indiana,IN,18,32,22,US House,6,Greg Pence,Republican,FALSE,Jeannine Lee Lake,Democrat,FALSE,total,79430,241726,FALSE,20200424,33,64,,,,33,64
IN-07,Indiana,IN,18,32,22,US House,7,"Wayne """"Gunny"""" Harmon",Republican,FALSE,Andre D. Carson,Democrat,FALSE,total,141139,217596,FALSE,20200424,65,35,,,,65,35
IN-08,Indiana,IN,18,32,22,US House,8,Larry D. Bucshon,Republican,FALSE,William Tanoos,Democrat,FALSE,total,86895,244291,FALSE,20200424,36,64,,,,36,64
IN-09,Indiana,IN,18,32,22,US House,9,Trey Hollingsworth,Republican,FALSE,Liz Watson,Democrat,FALSE,total,118090,271361,FALSE,20200424,44,56,,,,44,56
KS-01,Kansas,KS,20,47,32,US House,1,Roger Marshall,Republican,FALSE,Alan LaPolice,Democrat,FALSE,total,71558,224640,FALSE,20200424,32,68,,,,32,68
KS-02,Kansas,KS,20,47,32,US House,2,Steve Watkins,Republican,FALSE,Paul Davis,Democrat,FALSE,total,123859,264688,FALSE,20200424,47,48,,,,47,48
KS-03,Kansas,KS,20,47,32,US House,3,Kevin Yoder,Republican,FALSE,Sharice Davids,Democrat,FALSE,total,170518,318301,FALSE,20200424,54,44,,,,54,44
KS-04,Kansas,KS,20,47,32,US House,4,Ron Estes,Republican,FALSE,James A. Thompson,Democrat,FALSE,total,98445,242693,FALSE,20200424,41,59,,,,41,59
KY-01,Kentucky,KY,21,61,51,US House,1,James R. Comer,Republican,FALSE,Paul Walker,Democrat,FALSE,total,78849,251016,FALSE,20200424,31,69,,,,31,69
KY-02,Kentucky,KY,21,61,51,US House,2,S. Brett Guthrie,Republican,FALSE,Hank Linderman,Democrat,FALSE,total,79964,257345,FALSE,20200424,31,67,,,,31,67
KY-03,Kentucky,KY,21,61,51,US House,3,Vickie Yates B. Glisson,Republican,FALSE,John A. Yarmuth,Democrat,FALSE,total,173002,278720,FALSE,20200424,62,37,,,,62,37
KY-04,Kentucky,KY,21,61,51,US House,4,Thomas Massie,Republican,FALSE,Seth Hall,Democrat,FALSE,total,90536,261812,FALSE,20200424,35,62,,,,35,62
KY-05,Kentucky,KY,21,61,51,US House,5,"Harold """"Hal"""" Rogers",Republican,FALSE,Kenneth S. Stepp,Democrat,FALSE,total,45890,218017,FALSE,20200424,21,79,,,,21,79
KY-06,Kentucky,KY,21,61,51,US House,6,Andy Barr,Republican,FALSE,Amy McGrath,Democrat,FALSE,total,144736,302888,FALSE,20200424,48,51,,,,48,51
LA-01,Louisiana,LA,22,72,45,US House,1,Steve Scalise,Republican,FALSE,Tammy M. Savoie,Democrat,FALSE,total,44273,269325,FALSE,20200424,16,71,,,,16,71
LA-02,Louisiana,LA,22,72,45,US House,2,No Major Opponent,,FALSE,Cedric Richmond,Democrat,FALSE,total,190182,235982,FALSE,20200424,81,81,,,*,81,81
LA-04,Louisiana,LA,22,72,45,US House,4,"""""Mike"""" Johnson",Republican,FALSE,Ryan Trundle,Democrat,FALSE,total,72934,216872,FALSE,20200424,34,64,,,,34,64
LA-05,Louisiana,LA,22,72,45,US House,5,Ralph Abraham,Republican,FALSE,Jessee Carlton Fleenor,Democrat,FALSE,total,67118,223946,FALSE,20200424,30,67,,,,30,67
LA-06,Louisiana,LA,22,72,45,US House,6,Garret Graves,Republican,FALSE,Justin Dewitt,Democrat,FALSE,total,21627,268525,FALSE,20200424,21,69,,,,21,69
MA-01,Massachusetts,MA,25,14,3,US House,1,No Major Opponent,,FALSE,Richard E. Neal,Democrat,FALSE,total,211790,216900,FALSE,20200424,38,38,,,*,38,38
MA-02,Massachusetts,MA,25,14,3,US House,2,Tracy Lyn Lovvorn,Republican,FALSE,James P. McGovern,Democrat,FALSE,total,191332,284893,FALSE,20200424,67,33,,,,67,33
MA-03,Massachusetts,MA,25,14,3,US House,3,Rick Green,Republican,FALSE,Lori Loureiro Trahan,Democrat,FALSE,total,173175,279327,FALSE,20200424,62,33,,,,62,33
MA-04,Massachusetts,MA,25,14,3,US House,4,No Major Opponent,,FALSE,"Joseph P. Kennedy, III",Democrat,FALSE,total,245289,251016,FALSE,20200424,98,98,,,*,98,98
MA-05,Massachusetts,MA,25,14,3,US House,5,John Hugo,Republican,FALSE,Katherine M. Clark,Democrat,FALSE,total,236243,311324,FALSE,20200424,76,24,,,,76,24
MA-06,Massachusetts,MA,25,14,3,US House,6,Joseph S. Schneider,Republican,FALSE,Seth W. Moulton,Democrat,FALSE,total,217703,333975,FALSE,20200424,65,31,,,,65,31
MA-07,Massachusetts,MA,25,14,3,US House,7,No Major Opponent,,FALSE,Ayanna S. Pressley,Democrat,FALSE,total,216559,220411,FALSE,20200424,98,98,,,*,98,98
MA-08,Massachusetts,MA,25,14,3,US House,8,No Major Opponent,,FALSE,Stephen F. Lynch,Democrat,FALSE,total,259159,263307,FALSE,20200424,98,98,,,*,98,98
MA-09,Massachusetts,MA,25,14,3,US House,9,Peter D. Tedeschi,Republican,FALSE,Bill Keating,Democrat,FALSE,total,192347,323928,FALSE,20200424,59,41,,,,59,41
MD-01,Maryland,MD,24,52,52,US House,1,Andy Harris,Republican,FALSE,Jesse Colvin,Democrat,FALSE,total,116631,306132,FALSE,20200424,38,60,,,,38,60
MD-02,Maryland,MD,24,52,52,US House,2,Liz Matory,Republican,FALSE,C.A. Dutch Ruppersberger,Democrat,FALSE,total,167201,253302,FALSE,20200424,66,31,,,,66,31
MD-03,Maryland,MD,24,52,52,US House,3,Charles Anthony,Republican,FALSE,John Sarbanes,Democrat,FALSE,total,202407,292880,FALSE,20200424,69,28,,,,69,28
MD-04,Maryland,MD,24,52,52,US House,4,George McDermott,Republican,FALSE,Anthony G. Brown,Democrat,FALSE,total,209642,268583,FALSE,20200424,78,20,,,,78,20
MD-05,Maryland,MD,24,52,52,US House,5,"William A. Devine, III",Republican,FALSE,Steny H. Hoyer,Democrat,FALSE,total,213796,304209,FALSE,20200424,70,27,,,,70,27
MD-06,Maryland,MD,24,52,52,US House,6,Amie Hoeber,Republican,FALSE,David Trone,Democrat,FALSE,total,163346,276974,FALSE,20200424,59,38,,,,59,38
MD-07,Maryland,MD,24,52,52,US House,7,Richmond Davis,Republican,FALSE,Elijah Cummings,Democrat,FALSE,total,202345,264710,FALSE,20200424,76,21,,,,76,21
MD-08,Maryland,MD,24,52,52,US House,8,John Walsh,Republican,FALSE,Jamie Raskin,Democrat,FALSE,total,217679,319330,FALSE,20200424,68,30,,,,68,30
ME-01,Maine,ME,23,11,2,US House,1,Mark I. Holbrook,Republican,FALSE,Chellie Pingree,Democrat,FALSE,total,201195,342053,FALSE,20200424,36,20,,,,36,20
ME-02,Maine,ME,23,11,2,US House,2,Bruce Poliquin,Republican,FALSE,Jared F. Golden,Democrat,FALSE,total,139231,281371,FALSE,20200424,51,49,,,,51,49
MI-01,Michigan,MI,26,34,23,US House,1,Jack Bergman,Republican,FALSE,Matthew W. Morgan,Democrat,FALSE,total,145246,332497,FALSE,20200424,44,56,,,,44,56
MI-02,Michigan,MI,26,34,23,US House,2,Bill Huizenga,Republican,FALSE,Rob Davidson,Democrat,FALSE,total,131254,305463,FALSE,20200424,43,55,,,,43,55
MI-03,Michigan,MI,26,34,23,US House,3,Justin Amash,Republican,FALSE,Cathy Albro,Democrat,FALSE,total,134185,310740,FALSE,20200424,43,54,,,,43,54
MI-04,Michigan,MI,26,34,23,US House,4,John Moolenaar,Republican,FALSE,Jerry Hilliard,Democrat,FALSE,total,106540,285050,FALSE,20200424,37,63,,,,37,63
MI-05,Michigan,MI,26,34,23,US House,5,Travis Wines,Republican,FALSE,Daniel T. Kildee,Democrat,FALSE,total,164502,276413,FALSE,20200424,60,36,,,,60,36
MI-06,Michigan,MI,26,34,23,US House,6,Fred Upton,Republican,FALSE,Matt Longjohn,Democrat,FALSE,total,134082,293438,FALSE,20200424,46,50,,,,46,50
MI-07,Michigan,MI,26,34,23,US House,7,Tim Walberg,Republican,FALSE,Gretchen Driskell,Democrat,FALSE,total,136330,295060,FALSE,20200424,46,54,,,,46,54
MI-08,Michigan,MI,26,34,23,US House,8,Mike Bishop,Republican,FALSE,Elissa Slotkin,Democrat,FALSE,total,172880,341593,FALSE,20200424,51,47,,,,51,47
MI-09,Michigan,MI,26,34,23,US House,9,Candius Stearns,Republican,FALSE,Andy Levin,Democrat,FALSE,total,181734,304563,FALSE,20200424,60,37,,,,60,37
MI-10,Michigan,MI,26,34,23,US House,10,Paul Mitchell,Republican,FALSE,Kimberly Bizon,Democrat,FALSE,total,106061,303064,FALSE,20200424,35,60,,,,35,60
MI-11,Michigan,MI,26,34,23,US House,11,Lena Epstein,Republican,FALSE,Haley Stevens,Democrat,FALSE,total,181912,350901,FALSE,20200424,52,45,,,,52,45
MI-12,Michigan,MI,26,34,23,US House,12,Jeff Jones,Republican,FALSE,Debbie Dingell,Democrat,FALSE,total,200588,294628,FALSE,20200424,68,29,,,,68,29
MI-13,Michigan,MI,26,34,23,US House,13,No Major Opponent,,FALSE,Rashida Tlaib,Democrat,FALSE,total,165355,196299,FALSE,20200424,84,84,,,*,84,84
MI-14,Michigan,MI,26,34,23,US House,14,Marc S. Herschfus,Republican,FALSE,Brenda Lawrence,Democrat,FALSE,total,214334,264994,FALSE,20200424,81,17,,,,81,17
MO-01,Missouri,MO,29,43,34,US House,1,Robert Vroman,Republican,FALSE,Lacy Clay,Democrat,FALSE,total,219781,274375,FALSE,20200424,80,17,,,,80,17
MO-02,Missouri,MO,29,43,34,US House,2,Ann Wagner,Republican,FALSE,Cort VanOstran,Democrat,FALSE,total,177611,376066,FALSE,20200424,47,51,,,,47,51
MO-03,Missouri,MO,29,43,34,US House,3,Blaine Luetkemeyer,Republican,FALSE,Katy Geppert,Democrat,FALSE,total,106589,324608,FALSE,20200424,33,65,,,,33,65
MO-04,Missouri,MO,29,43,34,US House,4,Vicky Hartzler,Republican,FALSE,Renee Hoagenson,Democrat,FALSE,total,95968,293316,FALSE,20200424,33,65,,,,33,65
MO-05,Missouri,MO,29,43,34,US House,5,Jacob Turk,Republican,FALSE,"Emanuel Cleaver, II",Democrat,FALSE,total,175019,283785,FALSE,20200424,62,36,,,,62,36
MO-06,Missouri,MO,29,43,34,US House,6,Sam Graves,Republican,FALSE,Henry Robert Martin,Democrat,FALSE,total,97660,305409,FALSE,20200424,32,65,,,,32,65
MO-07,Missouri,MO,29,43,34,US House,7,Billy Long,Republican,FALSE,Jamie Daniel Schoolcraft,Democrat,FALSE,total,89190,296455,FALSE,20200424,30,66,,,,30,66
MO-08,Missouri,MO,29,43,34,US House,8,Jason Smith,Republican,FALSE,Kathy Ellis,Democrat,FALSE,total,66151,264399,FALSE,20200424,25,73,,,,25,73
MS-01,Mississippi,MS,28,64,46,US House,1,Trent Kelly,Republican,FALSE,Randy Mack Wadkins,Democrat,FALSE,total,76601,236521,FALSE,20200424,32,67,,,,32,67
MS-02,Mississippi,MS,28,64,46,US House,2,No Major Opponent,,FALSE,Bennie G. Thompson,Democrat,FALSE,total,158921,221379,FALSE,20200424,72,72,,,*,72,72
MS-03,Mississippi,MS,28,64,46,US House,3,Michael Guest,Republican,FALSE,Michael Ted Evans,Democrat,FALSE,total,94461,257271,FALSE,20200424,37,62,,,,37,62
MS-04,Mississippi,MS,28,64,46,US House,4,Steven Palazzo,Republican,FALSE,Jeramey Anderson,Democrat,FALSE,total,68787,223732,FALSE,20200424,31,68,,,,31,68
MT-AL,Montana,MT,30,81,64,US House,0,Greg Gianforte,Republican,FALSE,Kathleen Williams,Democrat,FALSE,total,233284,504421,FALSE,20200424,46,51,,,,46,51
NC-01,North Carolina,NC,37,56,47,US House,1,Roger W. Allison,Republican,FALSE,G. K. Butterfield,Democrat,FALSE,total,190457,272675,TRUE,20200424,70,30,,,,70,30
NC-02,North Carolina,NC,37,56,47,US House,2,George Holding,Republican,FALSE,Linda Coleman,Democrat,FALSE,total,151977,331704,TRUE,20200424,46,51,,,,46,51
NC-04,North Carolina,NC,37,56,47,US House,4,Steve A. (Von) Loor,Republican,FALSE,David Price,Democrat,FALSE,total,247067,341403,TRUE,20200424,72,24,,,,72,24
NC-05,North Carolina,NC,37,56,47,US House,5,Virginia Foxx,Republican,FALSE,DD Adams,Democrat,FALSE,total,120468,280385,TRUE,20200424,43,57,,,,43,57
NC-06,North Carolina,NC,37,56,47,US House,6,B. Mark Walker,Republican,FALSE,Ryan Watts,Democrat,FALSE,total,123651,284360,TRUE,20200424,43,57,,,,43,57
NC-07,North Carolina,NC,37,56,47,US House,7,David Rouzer,Republican,FALSE,Kyle Horton,Democrat,FALSE,total,120838,282312,TRUE,20200424,43,56,,,,43,56
NC-08,North Carolina,NC,37,56,47,US House,8,Richard Hudson,Republican,FALSE,Frank McNeill,Democrat,FALSE,total,114119,255521,TRUE,20200424,45,55,,,,45,55
NC-09,North Carolina,NC,37,56,47,US House,9,Mark Harris,Republican,FALSE,Dan McCready,Democrat,FALSE,total,138341,282717,TRUE,20200424,49,49,,,,49,49
NC-10,North Carolina,NC,37,56,47,US House,10,Patrick McHenry,Republican,FALSE,David Wilson Brown,Democrat,FALSE,total,113259,278228,TRUE,20200424,41,59,,,,41,59
NC-11,North Carolina,NC,37,56,47,US House,11,Mark Meadows,Republican,FALSE,Phillip G. Price,Democrat,FALSE,total,116508,300666,TRUE,20200424,39,59,,,,39,59
NC-12,North Carolina,NC,37,56,47,US House,12,Paul Wright,Republican,FALSE,Alma Adams,Democrat,FALSE,total,203974,279138,TRUE,20200424,73,27,,,,73,27
NC-13,North Carolina,NC,37,56,47,US House,13,Ted Budd,Republican,FALSE,Kathy Manning,Democrat,FALSE,total,130402,286316,TRUE,20200424,46,52,,,,46,52
NE-01,Nebraska,NE,31,46,35,US House,1,Jeff Fortenberry,Republican,FALSE,Jessica McClure,Democrat,FALSE,total,93069,234781,FALSE,20200424,40,60,,,,40,60
NE-02,Nebraska,NE,31,46,35,US House,2,Don Bacon,Republican,FALSE,Kara Eastman,Democrat,FALSE,total,121770,248485,FALSE,20200424,49,51,,,,49,51
NE-03,Nebraska,NE,31,46,35,US House,3,Adrian Smith,Republican,FALSE,Paul Theobald,Democrat,FALSE,total,49654,213304,FALSE,20200424,23,77,,,,23,77
NH-01,New Hampshire,NH,33,12,4,US House,1,Eddie Edwards,Republican,FALSE,Chris Pappas,Democrat,FALSE,total,155884,291039,FALSE,20200424,54,45,,,,54,45
NH-02,New Hampshire,NH,33,12,4,US House,2,Steven Negron,Republican,FALSE,Anne McLane Kuster,Democrat,FALSE,total,155358,279705,FALSE,20200424,56,42,,,,56,42
NJ-01,New Jersey,NJ,34,22,12,US House,1,Paul E. Dilks,Republican,FALSE,Donald W. Norcross,Democrat,FALSE,total,169628,263418,FALSE,20200424,64,33,,,,64,33
NJ-02,New Jersey,NJ,34,22,12,US House,2,Seth Grossman,Republican,FALSE,Jeff Van Drew,Democrat,FALSE,total,136685,258363,FALSE,20200424,53,45,,,,53,45
NJ-03,New Jersey,NJ,34,22,12,US House,3,Tom MacArthur,Republican,FALSE,Andy Kim,Democrat,FALSE,total,153473,306875,FALSE,20200424,50,49,,,,50,49
NJ-04,New Jersey,NJ,34,22,12,US House,4,Christopher H. Smith,Republican,FALSE,Joshua Welle,Democrat,FALSE,total,126766,294348,FALSE,20200424,43,55,,,,43,55
NJ-05,New Jersey,NJ,34,22,12,US House,5,John J. McCann Jr.,Republican,FALSE,Josh Gottheimer,Democrat,FALSE,total,169546,301823,FALSE,20200424,56,42,,,,56,42
NJ-06,New Jersey,NJ,34,22,12,US House,6,Richard J. Pezzullo,Republican,FALSE,Frank Pallone Jr.,Democrat,FALSE,total,140752,221195,FALSE,20200424,64,36,,,,64,36
NJ-07,New Jersey,NJ,34,22,12,US House,7,Leonard Lance,Republican,FALSE,Tom Malinowski,Democrat,FALSE,total,166985,322742,FALSE,20200424,52,47,,,,52,47
NJ-08,New Jersey,NJ,34,22,12,US House,8,John R. Muniz,Republican,FALSE,Albio Sires,Democrat,FALSE,total,119881,153455,FALSE,20200424,78,19,,,,78,19
NJ-09,New Jersey,NJ,34,22,12,US House,9,Eric P. Fisher,Republican,FALSE,Bill Pascrell Jr.,Democrat,FALSE,total,140832,200416,FALSE,20200424,70,29,,,,70,29
NJ-10,New Jersey,NJ,34,22,12,US House,10,Agha Khan,Republican,FALSE,Donald M. Payne Jr.,Democrat,FALSE,total,175253,200159,FALSE,20200424,88,10,,,,88,10
NJ-11,New Jersey,NJ,34,22,12,US House,11,Jay Webber,Republican,FALSE,Mikie Sherrill,Democrat,FALSE,total,183684,323574,FALSE,20200424,57,42,,,,57,42
NJ-12,New Jersey,NJ,34,22,12,US House,12,Daryl Kipnis,Republican,FALSE,Bonnie Watson Coleman,Democrat,FALSE,total,173334,252375,FALSE,20200424,69,31,,,,69,31
NM-01,New Mexico,NM,35,85,66,US House,1,Janice E Arnold-Jones,Republican,FALSE,Debra A Haaland,Democrat,FALSE,total,147336,249162,FALSE,20200424,59,36,,,,59,36
NM-02,New Mexico,NM,35,85,66,US House,2,Yvette Herrell,Republican,FALSE,Xochitl Torres Small,Democrat,FALSE,total,101489,199256,FALSE,20200424,51,49,,,,51,49
NM-03,New Mexico,NM,35,85,66,US House,3,Jerald Steve McFall,Republican,FALSE,Ben R Lujan,Democrat,FALSE,total,155201,244893,FALSE,20200424,63,31,,,,63,31
NV-01,Nevada,NV,32,88,65,US House,1,Joyce Bentley,Republican,FALSE,Dina Titus,Democrat,FALSE,total,100707,152201,FALSE,20200424,66,31,,,,66,31
NV-02,Nevada,NV,32,88,65,US House,2,Mark E. Amodei,Republican,FALSE,Clint Koble,Democrat,FALSE,total,120102,287537,FALSE,20200424,42,58,,,,42,58
NV-03,Nevada,NV,32,88,65,US House,3,Danny Tarkanian,Republican,FALSE,Susie Lee,Democrat,FALSE,total,148501,286168,FALSE,20200424,52,43,,,,52,43
NV-04,Nevada,NV,32,88,65,US House,4,Cresent Hardy,Republican,FALSE,Steven A. Horsford,Democrat,FALSE,total,121962,234868,FALSE,20200424,52,44,,,,52,44
NY-01,New York,NY,36,21,13,US House,1,Lee M. Zeldin,Republican,FALSE,Perry Gershon,Democrat,FALSE,total,124213,270053,FALSE,20200424,46,45,,,,46,45
NY-02,New York,NY,36,21,13,US House,2,Peter T. King,Republican,FALSE,Liuba Grechen Shirley,Democrat,FALSE,total,108803,241217,FALSE,20200424,45,47,,,,45,47
NY-03,New York,NY,36,21,13,US House,3,Dan P. DeBono,Republican,FALSE,Thomas R. Suozzi,Democrat,FALSE,total,149937,267062,FALSE,20200424,56,37,,,,56,37
NY-04,New York,NY,36,21,13,US House,4,Ameer N. Benno,Republican,FALSE,Kathleen M. Rice,Democrat,FALSE,total,156728,260206,FALSE,20200424,60,35,,,,60,35
NY-05,New York,NY,36,21,13,US House,5,No Major Opponent,,FALSE,Gregory W. Meeks,Democrat,FALSE,total,160500,161471,FALSE,20200424,99,99,,,*,99,99
NY-06,New York,NY,36,21,13,US House,6,No Major Opponent,,FALSE,Grace Meng,Democrat,FALSE,total,104293,123421,FALSE,20200424,85,85,,,*,85,85
NY-07,New York,NY,36,21,13,US House,7,No Major Opponent,,FALSE,Nydia M. Velazquez,Democrat,FALSE,total,134125,157302,FALSE,20200424,85,85,,,*,85,85
NY-08,New York,NY,36,21,13,US House,8,No Major Opponent,,FALSE,Hakeem S. Jeffries,Democrat,FALSE,total,170850,191567,FALSE,20200424,89,89,,,*,89,89
NY-09,New York,NY,36,21,13,US House,9,Lutchi Gayot,Republican,FALSE,Yvette D. Clarke,Democrat,FALSE,total,167269,203423,FALSE,20200424,82,9,,,,82,9
NY-10,New York,NY,36,21,13,US House,10,Naomi Levin,Republican,FALSE,Jerrold L. Nadler,Democrat,FALSE,total,162131,210958,FALSE,20200424,77,16,,,,77,16
NY-11,New York,NY,36,21,13,US House,11,Dan Donovan,Republican,FALSE,Max N. Rose,Democrat,FALSE,total,96850,192173,FALSE,20200424,50,42,,,,50,42
NY-12,New York,NY,36,21,13,US House,12,Eliot Rabin,Republican,FALSE,Carolyn B. Maloney,Democrat,FALSE,total,205858,251877,FALSE,20200424,82,12,,,,82,12
NY-13,New York,NY,36,21,13,US House,13,Jineea Butler,Republican,FALSE,Adriano Espaillat,Democrat,FALSE,total,171341,190688,FALSE,20200424,90,5,,,,90,5
NY-14,New York,NY,36,21,13,US House,14,Anthony Pappas,Republican,FALSE,Alexandria Ocasio-Cortez,Democrat,FALSE,total,110318,141204,FALSE,20200424,78,14,,,,78,14
NY-15,New York,NY,36,21,13,US House,15,Jason D. Gonzalez,Republican,FALSE,Jose E. Serrano,Democrat,FALSE,total,122007,129751,FALSE,20200424,94,4,,,,94,4
NY-16,New York,NY,36,21,13,US House,16,No Major Opponent,,FALSE,Eliot L. Engel,Democrat,FALSE,total,172815,183356,FALSE,20200424,94,94,,,*,94,94
NY-17,New York,NY,36,21,13,US House,17,No Major Opponent,,FALSE,Nita M. Lowey,Democrat,FALSE,total,159923,193841,FALSE,20200424,83,83,,,*,83,83
NY-18,New York,NY,36,21,13,US House,18,James O'Donnell,Republican,FALSE,Sean Patrick Maloney,Democrat,FALSE,total,126368,251690,FALSE,20200424,50,38,,,,50,38
NY-19,New York,NY,36,21,13,US House,19,John J. Faso,Republican,FALSE,Antonio Delgado,Democrat,FALSE,total,135582,287986,FALSE,20200424,47,39,,,,47,39
NY-20,New York,NY,36,21,13,US House,20,Joe Vitollo,Republican,FALSE,Paul D. Tonko,Democrat,FALSE,total,161330,266014,FALSE,20200424,61,33,,,,61,33
NY-21,New York,NY,36,21,13,US House,21,Elise M. Stefanik,Republican,FALSE,Tedra L. Cobb,Democrat,FALSE,total,93394,235267,FALSE,20200424,40,49,,,,40,49
NY-22,New York,NY,36,21,13,US House,22,Claudia Tenney,Republican,FALSE,Anthony J. Brindisi,Democrat,FALSE,total,116001,251212,FALSE,20200424,46,44,,,,46,44
NY-23,New York,NY,36,21,13,US House,23,"Thomas W. Reed, II",Republican,FALSE,Tracy Mitrano,Democrat,FALSE,total,100914,240374,FALSE,20200424,42,48,,,,42,48
NY-24,New York,NY,36,21,13,US House,24,John M. Katko,Republican,FALSE,Dana Balter,Democrat,FALSE,total,115902,260477,FALSE,20200424,44,44,,,,44,44
NY-25,New York,NY,36,21,13,US House,25,Jim Maxwell,Republican,FALSE,Joseph D. Morelle,Democrat,FALSE,total,147979,270120,FALSE,20200424,55,34,,,,55,34
NY-26,New York,NY,36,21,13,US House,26,Renee M. Zeno,Republican,FALSE,Brian Higgins,Democrat,FALSE,total,156968,230663,FALSE,20200424,68,27,,,,68,27
NY-27,New York,NY,36,21,13,US House,27,Chris Collins,Republican,FALSE,Nathan D. McMurray,Democrat,FALSE,total,128167,285300,FALSE,20200424,45,40,,,,45,40
OH-01,Ohio,OH,39,31,24,US House,1,Steve Chabot,Republican,FALSE,Aftab Pureval,Democrat,FALSE,total,141118,300871,FALSE,20200424,47,51,,,,47,51
OH-02,Ohio,OH,39,31,24,US House,2,Brad Wenstrup,Republican,FALSE,Jill Schiller,Democrat,FALSE,total,119333,289661,FALSE,20200424,41,58,,,,41,58
OH-03,Ohio,OH,39,31,24,US House,3,Jim Burgess,Republican,FALSE,Joyce Beatty,Democrat,FALSE,total,181575,246677,FALSE,20200424,74,26,,,,74,26
OH-04,Ohio,OH,39,31,24,US House,4,Jim Jordan,Republican,FALSE,Janet Garrett,Democrat,FALSE,total,89412,257405,FALSE,20200424,35,65,,,,35,65
