,,,,,,,,,,,,Party,,,,,,,,,,,test,,
OH-05,Ohio,OH,39,31,24,US House,5,Bob Latta,Republican,FALSE,J. Michael Galbraith,Democrat,FALSE,total,99655,283617,FALSE,20200424,35,62,,,,35,62
OH-06,Ohio,OH,39,31,24,US House,6,Bill Johnson,Republican,FALSE,Shawna Roberts,Democrat,FALSE,total,76716,249490,FALSE,20200424,31,69,,,,31,69
OH-07,Ohio,OH,39,31,24,US House,7,Bob Gibbs,Republican,FALSE,Ken Harbaugh,Democrat,FALSE,total,107536,260653,FALSE,20200424,41,59,,,,41,59
OH-08,Ohio,OH,39,31,24,US House,8,Warren Davidson,Republican,FALSE,Vanessa Enoch,Democrat,FALSE,total,87281,261133,FALSE,20200424,33,67,,,,33,67
OH-09,Ohio,OH,39,31,24,US House,9,Steven W. Kraus,Republican,FALSE,Marcy Kaptur,Democrat,FALSE,total,157219,231937,FALSE,20200424,68,32,,,,68,32
OH-10,Ohio,OH,39,31,24,US House,10,Mike Turner,Republican,FALSE,Theresa A. Gasper,Democrat,FALSE,total,118785,281726,FALSE,20200424,42,56,,,,42,56
OH-11,Ohio,OH,39,31,24,US House,11,Beverly A. Goldstein,Republican,FALSE,Marcia L. Fudge,Democrat,FALSE,total,206138,250660,FALSE,20200424,82,18,,,,82,18
OH-12,Ohio,OH,39,31,24,US House,12,Troy Balderson,Republican,FALSE,Danny O'Connor,Democrat,FALSE,total,161251,341647,FALSE,20200424,47,51,,,,47,51
OH-13,Ohio,OH,39,31,24,US House,13,Chris DePizzo,Republican,FALSE,Tim Ryan,Democrat,FALSE,total,153323,251370,FALSE,20200424,61,39,,,,61,39
OH-14,Ohio,OH,39,31,24,US House,14,David P. Joyce,Republican,FALSE,Betsy Rader,Democrat,FALSE,total,137549,307358,FALSE,20200424,45,55,,,,45,55
OH-15,Ohio,OH,39,31,24,US House,15,Steve Stivers,Republican,FALSE,Rick Neal,Democrat,FALSE,total,116112,292443,FALSE,20200424,40,58,,,,40,58
OH-16,Ohio,OH,39,31,24,US House,16,Anthony Gonzalez,Republican,FALSE,Susan Moran Palmer,Democrat,FALSE,total,129681,299710,FALSE,20200424,43,57,,,,43,57
OK-01,Oklahoma,OK,40,73,53,US House,1,Kevin Hern,Republican,FALSE,Tim Gilpin,Democrat,FALSE,total,103042,253171,FALSE,20200424,41,59,,,,41,59
OK-02,Oklahoma,OK,40,73,53,US House,2,Markwayne Mullin,Republican,FALSE,Jason Nichols,Democrat,FALSE,total,65021,216002,FALSE,20200424,30,65,,,,30,65
OK-03,Oklahoma,OK,40,73,53,US House,3,Frank D. Lucas,Republican,FALSE,Frankie Robbins,Democrat,FALSE,total,61152,234065,FALSE,20200424,26,74,,,,26,74
OK-04,Oklahoma,OK,40,73,53,US House,4,Tom Cole,Republican,FALSE,Mary Brannon,Democrat,FALSE,total,78088,236638,FALSE,20200424,33,63,,,,33,63
OK-05,Oklahoma,OK,40,73,53,US House,5,Steve Russell,Republican,FALSE,Kendra Horn,Democrat,FALSE,total,121149,238960,FALSE,20200424,51,49,,,,51,49
OR-01,Oregon,OR,41,92,72,US House,1,John Verbeek,Republican,FALSE,Suzanne Bonamici,Democrat,FALSE,total,231198,363249,FALSE,20200424,64,32,,,,64,32
OR-02,Oregon,OR,41,92,72,US House,2,Greg Walden,Republican,FALSE,Jamie McLeod-Skinner,Democrat,FALSE,total,145298,368709,FALSE,20200424,39,56,,,,39,56
OR-03,Oregon,OR,41,92,72,US House,3,Tom Harrison,Republican,FALSE,Earl Blumenauer,Democrat,FALSE,total,279019,384326,FALSE,20200424,73,20,,,,73,20
OR-04,Oregon,OR,41,92,72,US House,4,Art Robinson,Republican,FALSE,Peter DeFazio,Democrat,FALSE,total,208710,372893,FALSE,20200424,56,41,,,,56,41
OR-05,Oregon,OR,41,92,72,US House,5,Mark Callahan,Republican,FALSE,Kurt Schrader,Democrat,FALSE,total,197187,358469,FALSE,20200424,55,42,,,,55,42
PA-01,Pennsylvania,PA,42,23,14,US House,1,Brian K__Fitzpatrick,Republican,FALSE,Henry Scott__Wallace,Democrat,FALSE,total,160745,329798,FALSE,20200424,49,51,,,,49,51
PA-02,Pennsylvania,PA,42,23,14,US House,2,David__Torres,Republican,FALSE,Brendan F__Boyle,Democrat,FALSE,total,159600,201982,FALSE,20200424,79,21,,,,79,21
PA-03,Pennsylvania,PA,42,23,14,US House,3,Bryan E__Leib,Republican,FALSE,Dwight__Evans,Democrat,FALSE,total,287610,307997,FALSE,20200424,93,7,,,,93,7
PA-04,Pennsylvania,PA,42,23,14,US House,4,Daniel__David,Republican,FALSE,Madeleine__Dean Cunnane,Democrat,FALSE,total,211524,332991,FALSE,20200424,64,36,,,,64,36
PA-05,Pennsylvania,PA,42,23,14,US House,5,Pearl__Kim,Republican,FALSE,Mary Gay__Scanlon,Democrat,FALSE,total,198639,304714,FALSE,20200424,65,35,,,,65,35
PA-06,Pennsylvania,PA,42,23,14,US House,6,Gregory Michael  Mccauley Sr.,Republican,FALSE,Christina Jampoler__Houlahan,Democrat,FALSE,total,177704,301828,FALSE,20200424,59,41,,,,59,41
PA-07,Pennsylvania,PA,42,23,14,US House,7,Martin W__Nothstein,Republican,FALSE,Susan Ellis__Wild,Democrat,FALSE,total,140813,263261,FALSE,20200424,53,43,,,,53,43
PA-08,Pennsylvania,PA,42,23,14,US House,8,John Robert__Chrin,Republican,FALSE,Matthew Alton__Cartwright,Democrat,FALSE,total,135603,248166,FALSE,20200424,55,45,,,,55,45
PA-09,Pennsylvania,PA,42,23,14,US House,9,Daniel__Meuser,Republican,FALSE,Dennis__Wolff,Democrat,FALSE,total,100204,248927,FALSE,20200424,40,60,,,,40,60
PA-10,Pennsylvania,PA,42,23,14,US House,10,Scott G__Perry,Republican,FALSE,George B__Scott,Democrat,FALSE,total,141668,291033,FALSE,20200424,49,51,,,,49,51
PA-11,Pennsylvania,PA,42,23,14,US House,11,Lloyd K__Smucker,Republican,FALSE,Jessica__King,Democrat,FALSE,total,113876,277584,FALSE,20200424,41,59,,,,41,59
PA-12,Pennsylvania,PA,42,23,14,US House,12,Thomas A__Marino,Republican,FALSE,Marc__Friedenberg,Democrat,FALSE,total,82825,243872,FALSE,20200424,34,66,,,,34,66
PA-13,Pennsylvania,PA,42,23,14,US House,13,John__Joyce,Republican,FALSE,Brent M__Ottaway,Democrat,FALSE,total,74733,253266,FALSE,20200424,30,70,,,,30,70
PA-14,Pennsylvania,PA,42,23,14,US House,14,Guy L__Reschenthaler,Republican,FALSE,Bibiana__Boerio,Democrat,FALSE,total,110051,261437,FALSE,20200424,42,58,,,,42,58
PA-15,Pennsylvania,PA,42,23,14,US House,15,Glenn William  Thompson Jr.,Republican,FALSE,Susan__Boser,Democrat,FALSE,total,78327,243572,FALSE,20200424,32,68,,,,32,68
PA-16,Pennsylvania,PA,42,23,14,US House,16,George J  Kelly Jr.,Republican,FALSE,Ronald A__Dinicola,Democrat,FALSE,total,124109,262396,FALSE,20200424,47,52,,,,47,52
PA-17,Pennsylvania,PA,42,23,14,US House,17,Keith__Rothfus,Republican,FALSE,Conor James__Lamb,Democrat,FALSE,total,183162,325579,FALSE,20200424,56,44,,,,56,44
PA-18,Pennsylvania,PA,42,23,14,US House,18,No Major Opponent,,FALSE,Michael F  Doyle Jr.,Democrat,FALSE,total,231472,231472,FALSE,20200424,100,100,,,*,100,100
RI-01,Rhode Island,RI,44,15,5,US House,1,Patrick J. Donovan,Republican,FALSE,David N. Cicilline,Democrat,FALSE,total,116099,174083,FALSE,20200424,67,33,,,,67,33
RI-02,Rhode Island,RI,44,15,5,US House,2,Salvatore G. Caiozzo,Republican,FALSE,James R. Langevin,Democrat,FALSE,total,126476,199197,FALSE,20200424,63,36,,,,63,36
SC-01,South Carolina,SC,45,57,48,US House,1,Katie Arrington,Republican,FALSE,Joe Cunningham,Democrat,FALSE,total,145455,287433,FALSE,20200424,51,49,,,,51,49
SC-02,South Carolina,SC,45,57,48,US House,2,Joe Wilson,Republican,FALSE,Sean Carrigan,Democrat,FALSE,total,109199,257139,FALSE,20200424,42,56,,,,42,56
SC-03,South Carolina,SC,45,57,48,US House,3,Jeff Duncan,Republican,FALSE,Mary Geren,Democrat,FALSE,total,70046,226204,FALSE,20200424,31,68,,,,31,68
SC-04,South Carolina,SC,45,57,48,US House,4,William Timmons,Republican,FALSE,Brandon P Brown,Democrat,FALSE,total,89182,243950,FALSE,20200424,37,60,,,,37,60
SC-05,South Carolina,SC,45,57,48,US House,5,Ralph W Norman,Republican,FALSE,Archie Parnell,Democrat,FALSE,total,103129,248579,FALSE,20200424,41,57,,,,41,57
SC-06,South Carolina,SC,45,57,48,US House,6,Gerhard R Gressmann,Republican,FALSE,James E Jim Clyburn,Democrat,FALSE,total,144765,206433,FALSE,20200424,70,28,,,,70,28
SC-07,South Carolina,SC,45,57,48,US House,7,Tom Rice,Republican,FALSE,Robert Williams,Democrat,FALSE,total,96564,239554,FALSE,20200424,40,60,,,,40,60
SD-AL,South Dakota,SD,46,45,37,US House,0,"Dustin """"Dusty"""" Johnson",Republican,FALSE,Tim Bjorkman,Democrat,FALSE,total,120816,335471,FALSE,20200424,36,60,,,,36,60
TN-01,Tennessee,TN,47,62,54,US House,1,Phil Roe,Republican,FALSE,Marty Olsen,Democrat,FALSE,total,47138,224282,FALSE,20200424,21,77,,,,21,77
TN-02,Tennessee,TN,47,62,54,US House,2,Tim Burchett,Republican,FALSE,Renee Hoyos,Democrat,FALSE,total,86668,262134,FALSE,20200424,33,66,,,,33,66
TN-03,Tennessee,TN,47,62,54,US House,3,Chuck Fleischmann,Republican,FALSE,Danielle Mitchell,Democrat,FALSE,total,84731,245765,FALSE,20200424,34,64,,,,34,64
TN-04,Tennessee,TN,47,62,54,US House,4,Scott DesJarlais,Republican,FALSE,Mariah Phillips,Democrat,FALSE,total,78065,232451,FALSE,20200424,34,63,,,,34,63
TN-05,Tennessee,TN,47,62,54,US House,5,Jody M. Ball,Republican,FALSE,Jim Cooper,Democrat,FALSE,total,177923,262248,FALSE,20200424,68,32,,,,68,32
TN-06,Tennessee,TN,47,62,54,US House,6,John Rose,Republican,FALSE,Dawn Barlow,Democrat,FALSE,total,70370,248740,FALSE,20200424,28,69,,,,28,69
TN-07,Tennessee,TN,47,62,54,US House,7,Mark E. Green,Republican,FALSE,Justin Kanew,Democrat,FALSE,total,81661,254384,FALSE,20200424,32,67,,,,32,67
TN-08,Tennessee,TN,47,62,54,US House,8,David Kustoff,Republican,FALSE,Erika Stotts Pearson,Democrat,FALSE,total,74755,248345,FALSE,20200424,30,68,,,,30,68
TN-09,Tennessee,TN,47,62,54,US House,9,Charlotte Bergmann,Republican,FALSE,Steve Cohen,Democrat,FALSE,total,145139,181476,FALSE,20200424,80,19,,,,80,19
TX-01,Texas,TX,48,74,49,US House,1,Louie Gohmert,Republican,FALSE,Shirley J. McKellar,Democrat,FALSE,total,61263,232720,FALSE,20200424,26,72,,,,26,72
TX-02,Texas,TX,48,74,49,US House,2,Dan Crenshaw,Republican,FALSE,Todd Litton,Democrat,FALSE,total,119992,263392,FALSE,20200424,46,53,,,,46,53
TX-03,Texas,TX,48,74,49,US House,3,Van Taylor,Republican,FALSE,Lorie Burch,Democrat,FALSE,total,138234,312511,FALSE,20200424,44,54,,,,44,54
TX-04,Texas,TX,48,74,49,US House,4,John Ratcliffe,Republican,FALSE,Catherine Krantz,Democrat,FALSE,total,57400,249245,FALSE,20200424,23,76,,,,23,76
TX-05,Texas,TX,48,74,49,US House,5,Lance Gooden,Republican,FALSE,Dan Wood,Democrat,FALSE,total,78666,209507,FALSE,20200424,38,62,,,,38,62
TX-06,Texas,TX,48,74,49,US House,6,Ron Wright,Republican,FALSE,Jana Lynne Sanchez,Democrat,FALSE,total,116350,256042,FALSE,20200424,45,53,,,,45,53
TX-07,Texas,TX,48,74,49,US House,7,John Culberson,Republican,FALSE,Lizzie Pannill Fletcher,Democrat,FALSE,total,127959,243601,FALSE,20200424,53,47,,,,53,47
TX-08,Texas,TX,48,74,49,US House,8,Kevin Brady,Republican,FALSE,Steven David,Democrat,FALSE,total,67930,273170,FALSE,20200424,25,73,,,,25,73
TX-09,Texas,TX,48,74,49,US House,9,No Major Opponent,,FALSE,Al Green,Democrat,FALSE,total,136256,153001,FALSE,20200424,89,89,,,*,89,89
TX-10,Texas,TX,48,74,49,US House,10,Michael T. McCaul,Republican,FALSE,Mike Siegel,Democrat,FALSE,total,144034,307827,FALSE,20200424,47,51,,,,47,51
TX-11,Texas,TX,48,74,49,US House,11,Mike Conaway,Republican,FALSE,Jennie Lou Leeder,Democrat,FALSE,total,40631,220377,FALSE,20200424,18,80,,,,18,80
TX-12,Texas,TX,48,74,49,US House,12,Kay Granger,Republican,FALSE,Vanessa Adia,Democrat,FALSE,total,90994,268491,FALSE,20200424,34,64,,,,34,64
TX-13,Texas,TX,48,74,49,US House,13,Mac Thornberry,Republican,FALSE,Greg Sagan,Democrat,FALSE,total,35083,207285,FALSE,20200424,17,82,,,,17,82
TX-14,Texas,TX,48,74,49,US House,14,Randy Weber,Republican,FALSE,Adrienne Bell,Democrat,FALSE,total,92212,234528,FALSE,20200424,39,59,,,,39,59
TX-15,Texas,TX,48,74,49,US House,15,Tim Westley,Republican,FALSE,Vicente Gonzalez,Democrat,FALSE,total,98333,164802,FALSE,20200424,60,39,,,,60,39
TX-16,Texas,TX,48,74,49,US House,16,Rick Seeberger,Republican,FALSE,Veronica Escobar,Democrat,FALSE,total,124437,181754,FALSE,20200424,68,27,,,,68,27
TX-17,Texas,TX,48,74,49,US House,17,Bill Flores,Republican,FALSE,Rick Kennedy,Democrat,FALSE,total,98070,237351,FALSE,20200424,41,57,,,,41,57
TX-18,Texas,TX,48,74,49,US House,18,Ava Reynero Pate,Republican,FALSE,Sheila Jackson Lee,Democrat,FALSE,total,138704,184332,FALSE,20200424,75,21,,,,75,21
TX-19,Texas,TX,48,74,49,US House,19,Jodey Arrington,Republican,FALSE,Miguel Levario,Democrat,FALSE,total,50039,201985,FALSE,20200424,25,75,,,,25,75
TX-20,Texas,TX,48,74,49,US House,20,No Major Opponent,,FALSE,Joaquin Castro,Democrat,FALSE,total,139038,171963,FALSE,20200424,81,81,,,*,81,81
TX-21,Texas,TX,48,74,49,US House,21,Chip Roy,Republican,FALSE,Joseph Kopser,Democrat,FALSE,total,168421,353617,FALSE,20200424,48,50,,,,48,50
TX-22,Texas,TX,48,74,49,US House,22,Pete Olson,Republican,FALSE,Sri Preston Kulkarni,Democrat,FALSE,total,138153,297405,FALSE,20200424,46,51,,,,46,51
TX-23,Texas,TX,48,74,49,US House,23,Will Hurd,Republican,FALSE,Gina Ortiz Jones,Democrat,FALSE,total,102359,210069,FALSE,20200424,49,49,,,,49,49
TX-24,Texas,TX,48,74,49,US House,24,Kenny E Marchant,Republican,FALSE,Jan McDowell,Democrat,FALSE,total,125231,263418,FALSE,20200424,48,51,,,,48,51
TX-25,Texas,TX,48,74,49,US House,25,Roger Williams,Republican,FALSE,Julie Oliver,Democrat,FALSE,total,136385,304553,FALSE,20200424,45,54,,,,45,54
TX-26,Texas,TX,48,74,49,US House,26,Michael C. Burgess,Republican,FALSE,Linsey Fagan,Democrat,FALSE,total,121938,312505,FALSE,20200424,39,59,,,,39,59
TX-27,Texas,TX,48,74,49,US House,27,Michael Cloud,Republican,FALSE,Eric Holguin,Democrat,FALSE,total,75929,207421,FALSE,20200424,37,60,,,,37,60
TX-28,Texas,TX,48,74,49,US House,28,No Major Opponent,,FALSE,Henry Cuellar,Democrat,FALSE,total,117494,139226,FALSE,20200424,84,84,,,*,84,84
TX-29,Texas,TX,48,74,49,US House,29,Phillip Aronoff,Republican,FALSE,Sylvia R. Garcia,Democrat,FALSE,total,88188,117494,FALSE,20200424,75,24,,,,75,24
TX-30,Texas,TX,48,74,49,US House,30,No Major Opponent,,FALSE,Eddie Bernice Johnson,Democrat,FALSE,total,166784,183174,FALSE,20200424,91,91,,,*,91,91
TX-31,Texas,TX,48,74,49,US House,31,John Carter,Republican,FALSE,"Mary Jennings """"""""MJ"""""""" Hegar",Democrat,FALSE,total,136362,286007,FALSE,20200424,48,51,,,,48,51
TX-32,Texas,TX,48,74,49,US House,32,Pete Sessions,Republican,FALSE,Colin Allred,Democrat,FALSE,total,144067,275620,FALSE,20200424,52,46,,,,52,46
TX-33,Texas,TX,48,74,49,US House,33,Willie Billups,Republican,FALSE,Marc Veasey,Democrat,FALSE,total,90805,119224,FALSE,20200424,76,22,,,,76,22
TX-34,Texas,TX,48,74,49,US House,34,Rey Gonzalez,Republican,FALSE,Filemon B. Vela,Democrat,FALSE,total,85825,143068,FALSE,20200424,60,40,,,,60,40
TX-35,Texas,TX,48,74,49,US House,35,David Smalling,Republican,FALSE,Lloyd Doggett,Democrat,FALSE,total,138278,194067,FALSE,20200424,71,26,,,,71,26
TX-36,Texas,TX,48,74,49,US House,36,Brian Babin,Republican,FALSE,Dayna Steele,Democrat,FALSE,total,60908,221956,FALSE,20200424,27,73,,,,27,73
UT-01,Utah,UT,49,87,67,US House,1,Rob Bishop,Republican,FALSE,Lee Castillo,Democrat,FALSE,total,63308,254333,FALSE,20200424,25,62,,,,25,62
UT-02,Utah,UT,49,87,67,US House,2,Chris Stewart,Republican,FALSE,Shireen Ghorbani,Democrat,FALSE,total,105051,270044,FALSE,20200424,39,56,,,,39,56
UT-03,Utah,UT,49,87,67,US House,3,John Curtis,Republican,FALSE,James Courage Singer,Democrat,FALSE,total,70686,258858,FALSE,20200424,27,68,,,,27,68
UT-04,Utah,UT,49,87,67,US House,4,Mia B. Love,Republican,FALSE,Ben McAdams,Democrat,FALSE,total,134964,269271,FALSE,20200424,50,50,,,,50,50
VA-01,Virginia,VA,51,54,40,US House,1,"Robert J. """"Rob"""" Wittman",Republican,FALSE,Vangie A. Williams,Democrat,FALSE,total,148464,332101,FALSE,20200424,45,55,,,,45,55
VA-02,Virginia,VA,51,54,40,US House,2,Scott W. Taylor,Republican,FALSE,Elaine G. Luria,Democrat,FALSE,total,139571,273400,FALSE,20200424,51,49,,,,51,49
VA-03,Virginia,VA,51,54,40,US House,3,No Major Opponent,,FALSE,"Robert C. """"Bobby"""" Scott",Democrat,FALSE,total,198615,217722,FALSE,20200424,91,91,,,*,91,91
VA-04,Virginia,VA,51,54,40,US House,4,Ryan A. McAdams,Republican,FALSE,A. Donald McEachin,Democrat,FALSE,total,187642,299854,FALSE,20200424,63,36,,,,63,36
VA-05,Virginia,VA,51,54,40,US House,5,"Denver L. Riggleman, III",Republican,FALSE,Leslie C. Cockburn,Democrat,FALSE,total,145040,310926,FALSE,20200424,47,53,,,,47,53
VA-06,Virginia,VA,51,54,40,US House,6,Ben L. Cline,Republican,FALSE,Jennifer Lynn Lewis,Democrat,FALSE,total,113133,281377,FALSE,20200424,40,60,,,,40,60
VA-07,Virginia,VA,51,54,40,US House,7,Dave A. Brat,Republican,FALSE,Abigail A. Spanberger,Democrat,FALSE,total,176079,349803,FALSE,20200424,50,48,,,,50,48
VA-08,Virginia,VA,51,54,40,US House,8,Thomas S. Oh,Republican,FALSE,"Donald S. Beyer, Jr.",Democrat,FALSE,total,247137,324748,FALSE,20200424,76,24,,,,76,24
VA-09,Virginia,VA,51,54,40,US House,9,H. Morgan Griffith,Republican,FALSE,Anthony J. Flaccavento,Democrat,FALSE,total,85833,246980,FALSE,20200424,35,65,,,,35,65
VA-10,Virginia,VA,51,54,40,US House,10,Barbara J. Comstock,Republican,FALSE,Jennifer T. Wexton,Democrat,FALSE,total,206356,367795,FALSE,20200424,56,44,,,,56,44
VA-11,Virginia,VA,51,54,40,US House,11,Jeff A. Dove Jr.,Republican,FALSE,Gerald Edward Connolly,Democrat,FALSE,total,219191,308250,FALSE,20200424,71,27,,,,71,27
VT-AL,Vermont,VT,50,13,6,US House,0,Anya Tynio,Republican,FALSE,Peter Welch,Democrat,FALSE,total,188547,272451,FALSE,20200424,69,26,,,,69,26
WA-01,Washington,WA,53,91,73,US House,1,Jeffrey Beeler,Republican,FALSE,Suzan DelBene,Democrat,FALSE,total,197209,332743,FALSE,20200424,59,41,,,,59,41
WA-02,Washington,WA,53,91,73,US House,2,No Major Opponent,,FALSE,Rick Larsen,Democrat,FALSE,total,210187,294833,FALSE,20200424,71,71,,,*,71,71
WA-03,Washington,WA,53,91,73,US House,3,Jaime Herrera Beutler,Republican,FALSE,Carolyn Long,Democrat,FALSE,total,145407,307226,FALSE,20200424,47,53,,,,47,53
WA-04,Washington,WA,53,91,73,US House,4,Dan Newhouse,Republican,FALSE,Christine Brown,Democrat,FALSE,total,83785,225336,FALSE,20200424,37,63,,,,37,63
WA-05,Washington,WA,53,91,73,US House,5,Cathy McMorris Rodgers,Republican,FALSE,Lisa Brown,Democrat,FALSE,total,144925,320347,FALSE,20200424,45,55,,,,45,55
WA-06,Washington,WA,53,91,73,US House,6,Douglas Dightman,Republican,FALSE,Derek Kilmer,Democrat,FALSE,total,206409,323086,FALSE,20200424,64,36,,,,64,36
WA-07,Washington,WA,53,91,73,US House,7,Craig Keller,Republican,FALSE,Pramila Jayapal,Democrat,FALSE,total,329800,394681,FALSE,20200424,84,16,,,,84,16
WA-08,Washington,WA,53,91,73,US House,8,Dino Rossi,Republican,FALSE,Kim Schrier,Democrat,FALSE,total,164089,313057,FALSE,20200424,52,48,,,,52,48
WA-09,Washington,WA,53,91,73,US House,9,Sarah Smith,Democrat,FALSE,Adam Smith,Democrat,FALSE,total,163345,240567,FALSE,20200424,68,32,,,,68,32
WA-10,Washington,WA,53,91,73,US House,10,Joseph Brumbles,Republican,FALSE,Denny Heck,Democrat,FALSE,total,166215,270075,FALSE,20200424,62,38,,,,62,38
WI-01,Wisconsin,WI,55,35,25,US House,1,Bryan Steil,Republican,FALSE,Randy Bryce,Democrat,FALSE,total,137508,325317,FALSE,20200424,42,55,,,,42,55
WI-02,Wisconsin,WI,55,35,25,US House,2,No Major Opponent,,FALSE,Mark Pocan,Democrat,FALSE,total,309116,317295,FALSE,20200424,97,97,,,*,97,97
WI-03,Wisconsin,WI,55,35,25,US House,3,Steve Toft,Republican,FALSE,Ron Kind,Democrat,FALSE,total,187888,314989,FALSE,20200424,60,40,,,,60,40
WI-04,Wisconsin,WI,55,35,25,US House,4,Tim Rogers,Republican,FALSE,Gwen S. Moore,Democrat,FALSE,total,206487,273087,FALSE,20200424,76,22,,,,76,22
WI-05,Wisconsin,WI,55,35,25,US House,5,"F. James Sensenbrenner, Jr.",Republican,FALSE,Tom Palzewicz,Democrat,FALSE,total,138385,364288,FALSE,20200424,38,62,,,,38,62
WI-06,Wisconsin,WI,55,35,25,US House,6,Glenn Grothman,Republican,FALSE,Dan Kohl,Democrat,FALSE,total,144536,325065,FALSE,20200424,44,55,,,,44,55
WI-07,Wisconsin,WI,55,35,25,US House,7,Sean P. Duffy,Republican,FALSE,Margaret Engebretson,Democrat,FALSE,total,124307,322840,FALSE,20200424,39,60,,,,39,60
WI-08,Wisconsin,WI,55,35,25,US House,8,Mike Gallagher,Republican,FALSE,Beau Liegeois,Democrat,FALSE,total,119265,328774,FALSE,20200424,36,64,,,,36,64
WV-01,West Virginia,WV,54,55,56,US House,1,David B McKinley,Republican,FALSE,Kendra Fershee,Democrat,FALSE,total,70217,198214,TRUE,20200424,35,65,,,,35,65
WV-02,West Virginia,WV,54,55,56,US House,2,Alex X. Mooney,Republican,FALSE,Talley Sergent,Democrat,FALSE,total,88011,204792,TRUE,20200424,43,54,,,,43,54
WV-03,West Virginia,WV,54,55,56,US House,3,Carol Miller,Republican,FALSE,Richard Ojeda II,Democrat,FALSE,total,76340,174985,TRUE,20200424,44,56,,,,44,56
WY-AL,Wyoming,WY,56,83,68,US House,0,Liz Cheney,Republican,FALSE,Greg Hunter,Democrat,FALSE,total,59903,201245,FALSE,20200424,30,64,,,,30,64
MN-01,Minnesota,MN,27,41,33,US House,1,Jim Hagedorn,Republican,FALSE,Dan Feehan,Democrat,FALSE,total,144885,291661,FALSE,20200424,50,50,,,,50,50
MN-02,Minnesota,MN,27,41,33,US House,2,Jason Lewis,Republican,FALSE,Angie Craig,Democrat,FALSE,total,177958,337968,FALSE,20200424,53,47,,,,53,47
MN-03,Minnesota,MN,27,41,33,US House,3,Erik Paulsen,Republican,FALSE,Dean Phillips,Democrat,FALSE,total,202404,363949,FALSE,20200424,56,44,,,,56,44
MN-04,Minnesota,MN,27,41,33,US House,4,Greg Ryan,Republican,FALSE,Betty McCollum,Democrat,FALSE,total,216865,328614,FALSE,20200424,66,30,,,,66,30
MN-05,Minnesota,MN,27,41,33,US House,5,Jennifer Zielinski,Republican,FALSE,Ilhan Omar,Democrat,FALSE,total,267703,343358,FALSE,20200424,78,22,,,,78,22
MN-06,Minnesota,MN,27,41,33,US House,6,Tom Emmer,Republican,FALSE,Ian Todd,Democrat,FALSE,total,122332,315726,FALSE,20200424,39,61,,,,39,61
MN-07,Minnesota,MN,27,41,33,US House,7,Dave Hughes,Republican,FALSE,Collin C. Peterson,Democrat,FALSE,total,146672,281509,FALSE,20200424,52,48,,,,52,48
MN-08,Minnesota,MN,27,41,33,US House,8,Pete Stauber,Republican,FALSE,Joe Radinovich,Democrat,FALSE,total,141950,314211,FALSE,20200424,45,51,,,,45,51
ND-AL,North Dakota,ND,38,44,36,US House,0,Kelly Armstrong,Republican,FALSE,Mac Schneider,Democrat,FALSE,total,114377,321532,FALSE,20200424,36,60,,,,36,60
CA-08,California,CA,6,93,71,US House,8,Tim Donnelly,Republican,FALSE,Paul Cook,Republican,FALSE,total,102415,170785,FALSE,20200424,60,40,,,*,60,40
GA-08,Georgia,GA,13,58,44,US House,8,No Major Opponent,,FALSE,Austin Scott,Republican,FALSE,total,198152,198152,FALSE,20200424,100,100,,,*,100,100
LA-03,Louisiana,LA,22,72,45,US House,3,Clay Higgins,Republican,FALSE,"""""Josh"""" Guillory",Republican,FALSE,total,31387,245943,FALSE,20200424,13,56,,,*,13,56
NC-03,North Carolina,NC,37,56,47,US House,3,No Major Opponent,,FALSE,Walter B. Jones,Republican,FALSE,total,187901,187901,TRUE,20200424,100,100,,,*,100,100
